labsampnum,result_source_key,prep_code,pedon_key,site_key,pedlabsampnum,project_key,layer_field_label_1,hzn_top,hzn_bot,InRangeTop_0_100,InRangeBot_0_100,hzn_desgn,pedoniid,upedonid,soil_name,class_type,classification_name,siteiid,usiteid,site_obsdate,latitude_decimal_degrees,longitude_decimal_degrees,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,note,pedobjupdate,lab_texture,ca_nh4_ph_7,ca_nh4_ph_7_method,mg_nh4_ph_7,mg_nh4_ph_7_method,k_nh4_ph_7,k_nh4_ph_7_method,total_carbon_ncs,total_carbon_ncs_method,total_nitrogen_ncs,total_nitrogen_ncs_method,organic_carbon_walkley_black,oc_walkley_black_method,ph_cacl2,ph_cacl2_method,ph_h2o,ph_h2o_method,phosphorus_bray1,phosphorus_bray1_method,phosphorus_bray2,phosphorus_bray2_method,phosphorus_mehlich_3,phosphorus_mehlich_3_method,base_sat_nh4oac_ph_7,estimated_organic_carbon,carbon_to_nitrogen_ratio,texture_lab,particle_size_method,clay_total,silt_total,sand_total,total_frag_wt_pct_gt_2_mm_ws,bulk_density_oven_dry,bulk_density_oven_dry_method
08N01293,210849,S,34846,34632,08N0206,5048,S08FL005-001-2,10,25,10,25,E,283568,S08FL005001,Leon,series,"Sandy, siliceous, thermic Aeric Alaquods",284188,S2008FL005001,10/27/2007 0:00,30.2055283,-85.7723312,US,United States,FL,Florida,FL005,Bay,152A,Eastern Gulf Coast Flatwoods,FL005,"Bay County, Florida",NASIS updated 5/4/2020 7:46:32 AM,4/23/2016 6:08,s,0,4B1a1a,0.02,4B1a1a,0.04,4B1a1a,0.27,4H2a,0.024,4H2a,,,3.5,4C1a2a,4.3,4C1a2a,,,,,,,4,0.3,11,s,3A1a1a,0.5,2.3,97.2,0,,
17N00741,15940201,S,73725,134446,17N0127,6021,S2016TN045001-4,71,105,71,100,Bssg2,1137981,S2016TN045001,Sharkey,series,"Very-fine, smectitic, thermic Chromic Epiaquerts",1156171,S2016TN045001,,36.0315,-89.6248611,US,United States,TN,Tennessee,TN045,Dyer,131A,Southern Mississippi River Alluvium,TN045,"Dyer County, Tennessee",NASIS updated 5/4/2020 7:59:24 AM,1/11/2017 23:56,sic,33.55,4B1a1a,10.35,4B1a1a,0.89,4B1a1a,0.79,4H2a,0.085,4H2a,,,7.3,4C1a2a,7.6,4C1a2a,,,,,,,100,0.7,9,sic,3A1a1a,53.5,45.3,1.2,0,,
70009-8-3,15742581,S,39665,39046,S70AL-009-8,5207,7009-8-3,41,61,41,61,Bt2,318732,70AL009008-pgm,Leadvale,series,"Fine-silty, siliceous, semiactive, thermic Typic fragiudults",318418,70AL009008-pgm,4/30/1970 0:00,33.98611832,-86.57500458,US,United States,AL,Alabama,AL009,Blount,,,AL009,"Blount County, Alabama",NASIS updated 5/4/2020 8:46:17 AM,12/29/2014 14:26,,1.87,NK,0.48,NK,0.09,NK,,,,,,,,,5,NK,,,,,,,30,,,,3A1a1a,30.7,54.5,14.8,,,
18N01056,15945497,S,74746,135342,18N0141,6180,S2015GA007026-3,40,70,40,70,E2,1162999,S2015GA007026,Wagram,series,"Loamy, kaolinitic, thermic Arenic Kandiudults",1194592,S2015GA007026,,31.1867333,-84.4646056,US,United States,GA,Georgia,GA007,Baker,133A,Southern Coastal Plain,,,NASIS updated 5/4/2020 7:59:53 AM,4/3/2018 20:09,sl,1.6,4B1a1a,0.32,4B1a1a,0,4B1a1a,0.18,4H2a,0,4H2a,,,4.7,4C1a2a,5.5,4C1a2a,,,,,1.9,4D6a1,100,0.2,,sl,3A1a1a,9.2,11.7,79.1,2,,
08N02766,212639,S,35184,34964,08N0421,5094,S08SC085-032-4,43,63,43,63,Bg1,1266220,S2008SC085032,Mantachie,taxadjunct,"Fine-loamy, siliceous, subactive, acid, thermic Fluventic Endoaquepts",294681,S2008SC085032,1/31/2008 0:00,34.0083351,-79.9219437,US,United States,SC,South Carolina,SC085,Sumter,133A,Southern Coastal Plain,SC085,"Sumter County, South Carolina",NASIS updated 5/4/2020 7:47:08 AM,6/25/2019 18:58,l,0.16,4B1a1a,0.51,4B1a1a,0.46,4B1a1a,0.17,4H2a,0.039,4H2a,,,4.2,4C1a2a,5.1,4C1a2a,0.1,4D3a1,,,,,24,0.2,4,l,3A1a1a,20,39.3,40.7,0,,
00P03020,160573,S,25166,25166,00P0484,3498,,46,79,46,79,Bssg2,111170,99MS151003,Sharkey,,,111156,S1999MS151003,9/30/1999 0:00,33.3306961,-91.0159988,US,United States,MS,Mississippi,MS151,Washington,,,MS151,"Washington County, Mississippi",NASIS updated 5/4/2020 7:36:27 AM,4/23/2016 6:08,c,,,,,,,0.86,6A2e,0.133,6B4a,,,5.6,4C1a2a,5.6,4C1a2a,,,,,,,,0.9,,c,3A1a1a,74.4,24.2,1.4,0,,
MU053460,15794508,S,47585,46871,M9512305,5429,,8,18,8,18,E1,95427,1995MO123005M,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",96250,1995MO123005M,1/31/1995 0:00,37.3422775,-90.1764755,US,United States,MO,Missouri,MO123,Madison,116A,Ozark Highland,MO123,"Madison County, Missouri",NASIS updated 5/4/2020 8:40:32 AM,12/12/2019 12:38,sil,0.2,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,1,6A2d,4.1,8C1e,4.8,8C1a,,,,,,,13,,,sil,3A1a1a,9.5,69.1,21.4,,,
MU012755,15760896,S,42523,41809,M9822332,5397,,10,23,10,23,E1,96458,1998MO223083,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",96384,1998MO223083,9/2/1998 0:00,36.9641685,-90.3005371,US,United States,MO,Missouri,MO223,Wayne,116A,Ozark Highland,MO223,"Wayne County, Missouri",NASIS updated 5/4/2020 8:42:14 AM,7/25/2019 13:05,SIL,0.2,6N2,0.4,6O2,0.1,6Q2,,,,,0.8,6A2d,4.3,8C1e,4.9,8C1a,,,,,,,22,,,SIL,3A1a1a,7.2,50.2,42.5,,,
11N04117,15825419,S,52451,51727,11N6771,5480,11TN017-002-5,81,110,81,100,Bt3,964194,11TN017002,Smithdale,series,"Fine-loamy, siliceous, subactive, thermic Typic Hapludult",982403,11TN017002,1/15/2014 0:00,35.8788889,-88.22375,US,United States,TN,Tennessee,TN017,Carroll,,,,,NASIS updated 5/4/2020 7:55:28 AM,6/12/2014 13:08,fsl,0,4B1a1a,1.86,4B1a1a,0.1,4B1a1a,0.18,4H2a,0.056,4H2a,,,4.2,4C1a2a,5.1,4C1a2a,,,,,0.9,4D6a1,40,0.2,3,fsl,3A1a1a,17.2,14,68.8,0,,
FL3301203,15817858,S,51181,50455,S33_012,5460,,43,66,43,66,Bw2,517691,1981-FL065-S33_012,Albany,,"Aquic Grossarenic Paleudults, loamy, siliceous, subactive, thermic.",528944,S1981-FL065-S33_012,4/15/2011 0:00,30.3392506,-84.0474548,US,United States,FL,Florida,FL065,Jefferson,133A,Southern Coastal Plain,FL065,"Jefferson County, Florida",NASIS updated 5/4/2020 8:45:36 AM,4/23/2016 6:15,FS,0.01,6N2,0.01,6O2,0,6Q2,,,,,0.27,6A1a,4.6,8C1e,4.9,8C1a,,,,,,,,,,FS,3A1a1a,2.2,8,,,,
40A38568,36489,S,4860,4860,40A5119,1,9864,0,3,0,3,A1,100929,S1958GA191012,BAYBORO,series,,100946,S1958GA191012,12/2/1958 0:00,31.5318623,-81.450943,US,United States,GA,Georgia,GA191,McIntosh,,,GA191,"McIntosh County, Georgia",NASIS updated 5/4/2020 8:05:53 AM,4/24/2016 14:26,cl,8.4,6N2b,3.1,6O2b,0.6,6Q2a,,,,,10.3,6A1a,,,4.3,8C1a,,,,,,,38,,,cl,3A1a1a,34.8,20.4,44.8,0,,
11N03807,15920451,S,70204,68237,11N6685,5783,S11-SC-061-003-1,0,23,0,23,Ap,802251,S2011SC061003,Goldsboro,series,"Fine-loamy, siliceous, subactive, thermic Aquic Paleudult",499391,2009SC061-003-R03,7/6/2010 0:00,34.1136093,-80.2077789,US,United States,SC,South Carolina,SC061,Lee,133A,Southern Coastal Plain,SC061,"Lee County, South Carolina",NASIS updated 5/4/2020 7:55:27 AM,4/22/2016 3:05,sl,2.49,4B1a1a,0.24,4B1a1a,0.35,4B1a1a,1.09,4H2a,0.057,4H2a,,,5,4C1a2a,5.3,4C1a2a,,,,,288.8,4D6a1,81,1.1,19,sl,3A1a1a,5.8,20.4,73.8,1,,
FL3701704,15815887,S,50889,50163,S37_017,5460,,58,91,58,91,Bw3,1160021,1981FL073104,Leefield,series,"Loamy, siliceous, subactive, thermic Arenic Plinthaquic Paleudults",1188814,1981FL073104,4/15/2011 0:00,30.4251785,-84.1772995,US,United States,FL,Florida,FL073,Leon,133A,Southern Coastal Plain,FL073,"Leon County, Florida",NASIS updated 5/4/2020 8:45:41 AM,6/29/2016 20:05,LS,0.14,6N2,0.02,6O2,0.03,6Q2,,,,,,,4.5,8C1e,5.1,8C1a,,,,,,,,,,LS,3A1a1a,8.7,7.4,,,,
MU009814,15757994,S,42090,41376,M9661331,5397,,0,15,0,15,Ap,1367355,1996MO203031M,Arkana,series,"Very-fine, mixed, active, mesic Typic Hapludalfs",97139,1996MO203031M,10/16/1996 0:00,37.2915472,-91.3834306,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:41:15 AM,10/18/2019 14:35,SIL,6.8,6N2,1.5,6O2,0.1,6Q2,,,,,2.4,6A2d,5.4,8C1e,5.9,8C1a,,,,,,,66,,,SIL,3A1a1a,15.6,52.6,31.8,,,
FL0701804,15820478,S,51604,50878,S07_018,5460,,81,107,81,100,Btv1,517213,1988-FL013-S07_018,Fuquay,,"Arenic Plinthic Kandiudults, loamy, kaolinitic, thermic.",528507,S1988-FL013-S07_018,4/15/2011 0:00,30.5344391,-85.0880585,US,United States,FL,Florida,FL013,Calhoun,133A,Southern Coastal Plain,FL013,"Calhoun County, Florida",NASIS updated 5/4/2020 8:44:40 AM,4/23/2016 6:15,FSL,1.05,6N2,0.29,6O2,0.11,6Q2,,,,,0.05,6A1a,4.5,8C1e,5,8C1a,,,,,,,,,,FSL,3A1a1a,11,10.2,,,,
78P01683,48840,S,6777,6777,78P0314,210,,43,81,43,81,Bt,956024,78NC183002,Appling,taxadjunct,"Very-fine, parasesquic, thermic Typic Kanhapludult",974318,78NC183002,6/1/1978 0:00,35.75,-78.75,US,United States,NC,North Carolina,NC183,Wake,136,Southern Piedmont,NC183,"Wake County, North Carolina",NASIS updated 5/4/2020 8:11:12 AM,3/17/2015 20:04,c,0.82,6N2e,1.04,6O2d,0.35,6Q2b,,,,,0.3,6A1c,4.3,8C1e,5.2,8C1a,,,,,,,26,,,c,3A1a1a,75.7,8.8,15.5,20,1.31,4A1h
FL0702802,15820769,S,51656,50930,S07_028,5460,,18,32,18,32,Bw,517223,1989-FL013-S07_028,Saucier,,"Plinthaquic Paleudults, fine-loamy, siliceous, subactive, thermic.",528517,S1989-FL013-S07_028,4/15/2011 0:00,30.3666687,-85.1166687,US,United States,FL,Florida,FL013,Calhoun,133A,Southern Coastal Plain,FL013,"Calhoun County, Florida",NASIS updated 5/4/2020 8:44:41 AM,4/23/2016 6:15,vfsl,0.02,6N2,0.04,6O2,0.01,6Q2,,,,,0.67,6A1a,4.6,8C1e,5.2,8C1a,,,,,,,,,,vfsl,3A1a1a,15.8,26.6,,,,
40A37605,35526,S,4712,4712,40A4971,1,16470,69,89,69,89,Bg3,105860,S1961TN045014,Forestdale,series,,105877,S1961TN045014,10/19/1961 0:00,36.1308327,-89.4761124,US,United States,TN,Tennessee,TN045,Dyer,,,TN045,"Dyer County, Tennessee",NASIS updated 5/4/2020 8:05:45 AM,5/14/2019 17:25,cl,3.3,6N2b,4,6O2b,0.3,6Q2a,,,,,0.14,6A1a,,,3.8,8C1a,,,,,,,45,,,cl,3A1a1a,27,39.3,33.7,0,1.69,4A1h
FL4501403,15819393,S,51421,50695,S45_014,5460,,28,36,28,36,A1,517900,1985-FL089-S45_014,Evergreen,,"Histic Alaquods, sandy, siliceous, thermic",529178,S1985-FL089-S45_014,4/15/2011 0:00,30.6557884,-81.5542221,US,United States,FL,Florida,FL089,Nassau,153B,Tidewater Area,FL089,"Nassau County, Florida",NASIS updated 5/4/2020 8:45:49 AM,4/24/2016 14:26,lfs,0.05,6N2,0.14,6O2,0.02,6Q2,,,,,5.53,6A1a,3.4,8C1e,3.9,8C1a,,,,,,,,,,lfs,3A1a1a,7.7,9.7,,,,
FL0301002,15817311,S,51095,50369,S03_010,5460,,20,38,20,38,Eg1,517127,1980-FL005-S03_010,Pottsburg,,"Grossarenic Alaquods, sandy, siliceous, thermic.",528421,S1980-FL005-S03_010,4/15/2011 0:00,30.0025978,-85.4847031,US,United States,FL,Florida,FL005,Bay,152A,Eastern Gulf Coast Flatwoods,FL005,"Bay County, Florida",NASIS updated 5/4/2020 8:44:28 AM,4/23/2016 6:15,FS,0.01,6N2,0.02,6O2,0,6Q2,,,,,0.43,6A1a,4.4,8C1e,4.7,8C1a,,,,,,,,,,FS,3A1a1a,0.9,3.1,,,,
MU063760,15791667,S,47171,46457,M9961311,5429,,0,10,0,10,A,1367575,1999MO203011M,Portia,taxadjunct,"Fine-loamy, siliceous, active, mesic Typic Paleudults",97427,1999MO203011M,2/4/1999 0:00,36.9145111,-91.5185972,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:42:42 AM,10/18/2019 14:35,sil,0.2,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,1.7,6A2d,4,8C1e,4.5,8C1a,,,,,,,8,,,sil,3A1a1a,10.8,72.8,16.4,,,
40A30579,28922,S,3785,3785,40A3991,1,56503,79,91,79,91,Bt4,1115212,S1956LA105002,Cahaba,taxadjunct,"Fine-loamy, siliceous, semiactive, thermic Typic Hapludalfs",102431,S1956LA105002,4/10/1956 0:00,30.6219444,-90.4844437,US,United States,LA,Louisiana,LA105,Tangipahoa,133A,Southern Coastal Plain,LA105,"Tangipahoa Parish, Louisiana",NASIS updated 5/4/2020 8:04:54 AM,2/12/2016 13:52,fsl,0.2,6N2d,0.6,6O2b,0.1,6Q2a,,,,,0.02,6A1a,,,4.6,8C1a,,,,,,,,,,fsl,3A1a1a,14.5,30.7,54.8,0,,
88P04707,96930,S,15369,15369,88P0871,1828,,76,97,76,97,BC,125268,88NC199004,Clifton,series,"Fine, sesquic, mesic Typic Hapludults",123524,S1988NC199004,6/1/1988 0:00,35.8388901,-82.1875,US,United States,NC,North Carolina,NC199,Yancey,130,Blue Ridge,NC199,"Yancey County, North Carolina",NASIS updated 5/4/2020 8:21:02 AM,1/16/2019 19:32,fsl,0.14,6N2e,0.26,6O2d,0.02,6Q2b,,,,,0.11,6A1c,4.7,4C1a2a,5.1,4C1a2a,,,,,,,9,,,fsl,3A1a1a,18.7,16.7,64.6,1,1.37,4A1h
MU055698,15797781,S,48051,47337,M9611933,5429,,23,33,23,33,BE,94543,1996MO119071,Clarksville,taxadjunct,"Loamy-skeletal, siliceous, semiactive, mesic Typic Paleudults",94603,1996MO119071,5/1/1996 0:00,36.7335639,-94.1273278,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:01 AM,7/25/2019 13:05,sil,4.3,4B1a1,0.4,4B1a1,0.1,4B1a1,,,,,0.4,6A2d,,,6.3,8C1a,,,,,,,76,,,sil,3A1a1a,14.7,72.4,12.9,,,
MU008916,15757127,S,41969,41255,M9611921,5397,,46,74,46,74,Bt1,94531,1996MO119059,Clarksville,series,"Loamy-skeletal, mixed, semiactive, mesic Typic Paleudults",94591,1996MO119059,4/4/1996 0:00,36.7385139,-94.1731194,US,United States,MO,Missouri,MO119,McDonald,116B,Springfield Plain,MO119,"McDonald County, Missouri",NASIS updated 5/4/2020 8:41:00 AM,7/25/2019 13:05,SIL,0.2,6N2,1.1,6O2,0.2,6Q2,,,,,0.2,6A2d,,,5,8C1a,,,,,,,21,,,SIL,3A1a1a,26.3,64.5,9.2,,,
MU054713,15793002,S,47369,46655,M9561393,5429,,0,15,0,15,Ap,1367297,1995MO203093M,Nixa,taxadjunct,"Coarse-loamy, siliceous, active, mesic Glossic Fragiudults",96956,1995MO203093M,11/16/1995 0:00,37.2677139,-91.4152472,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:40:49 AM,10/18/2019 14:35,sil,2.3,4B1a1,0.8,4B1a1,0.4,4B1a1,,,,,2.5,6A2d,4.4,8C1e,5,8C1a,,,,,,,32,,,sil,3A1a1a,9.7,70.2,20.1,,,
MU049310,15790070,S,46942,46228,M9361309,5429,,41,58,41,58,Bt2,1367731,1993MO203009M,Lily,taxadjunct,"Fine-loamy, siliceous, active, mesic Typic Hapludults",98124,1993MO203009M,6/16/1993 0:00,37.1313858,-91.5613861,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:39:46 AM,10/18/2019 14:35,l,0.5,4B1a1,0.8,4B1a1,0.1,4B1a1,,,,,0.4,6A2d,2.9,8C1e,3.9,8C1a,,,,,,,16,,,l,3A1a1a,23.6,45.8,30.6,,,
FL0301003,15817312,S,51095,50369,S03_010,5460,,38,89,38,89,Eg2,517127,1980-FL005-S03_010,Pottsburg,,"Grossarenic Alaquods, sandy, siliceous, thermic.",528421,S1980-FL005-S03_010,4/15/2011 0:00,30.0025978,-85.4847031,US,United States,FL,Florida,FL005,Bay,152A,Eastern Gulf Coast Flatwoods,FL005,"Bay County, Florida",NASIS updated 5/4/2020 8:44:28 AM,4/23/2016 6:15,FS,0.01,6N2,0.01,6O2,0,6Q2,,,,,0.24,6A1a,4.6,8C1e,4.9,8C1a,,,,,,,,,,FS,3A1a1a,1.2,2.5,,,,
18N01348,15945602,S,74771,135367,18N0188,6182,S2016AL007011-2,13,30,13,30,C1,1105532,S2016AL007011,Bibb,series,"Coarse-loamy, siliceous, active, acid, thermic Typic Fluvaquents",1112427,S2016AL007011,,32.9561694,-87.4103972,US,United States,AL,Alabama,AL007,Bibb,133A,Southern Coastal Plain,AL007,"Bibb County, Alabama",NASIS updated 5/4/2020 7:59:55 AM,4/3/2018 20:09,sl,0,4B1a1a,0.02,4B1a1a,0.05,4B1a1a,0.3,4H2a,0.05,4H2a,,,4.3,4C1a2a,5,4C1a2a,,,,,0.8,4D6a1,1,0.3,6,sl,3A1a1a,12.9,27,60.1,0,,
MU018779,15766818,S,43409,42695,M9722320,5397,,97,140,97,100,2Bt3,95974,1996MO223107,Noark,series,"Clayey-skeletal, mixed, semiactive, mesic Typic Paleudults",95928,1996MO223107,8/28/1996 0:00,37.2903175,-90.7023087,US,United States,MO,Missouri,MO223,Wayne,116A,Ozark Highland,MO223,"Wayne County, Missouri",NASIS updated 5/4/2020 8:41:43 AM,7/25/2019 13:05,C,1.9,6N2,3.6,6O2,0.2,6Q2,,,,,0.1,6A2d,3.9,8C1e,4.4,8C1a,,,,,,,28,,,C,3A1a1a,71.2,13.3,15.5,,,
08N02764,212637,S,35184,34964,08N0421,5094,S08SC085-032-2,8,23,8,23,Bw1,1266220,S2008SC085032,Mantachie,taxadjunct,"Fine-loamy, siliceous, subactive, acid, thermic Fluventic Endoaquepts",294681,S2008SC085032,1/31/2008 0:00,34.0083351,-79.9219437,US,United States,SC,South Carolina,SC085,Sumter,133A,Southern Coastal Plain,SC085,"Sumter County, South Carolina",NASIS updated 5/4/2020 7:47:08 AM,6/25/2019 18:58,l,1.16,4B1a1a,0.68,4B1a1a,0.07,4B1a1a,0.92,4H2a,0.102,4H2a,,,4.5,4C1a2a,5.1,4C1a2a,0.8,4D3a1,,,,,27,0.9,9,l,3A1a1a,22.7,37.2,40.1,0,,
MU001455,15749747,S,40950,40236,M9461356,5397,,36,51,36,51,Bt1,1367909,1994MO203056M,Clarksville,series,"Loamy-skeletal, siliceous, semiactive, mesic Typic Hapludults",687143,1994MO203056M,8/1/1994 0:00,37.1729111,-91.13895,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO613,"Shannon County, Missouri, North & West Parts",NASIS updated 5/4/2020 8:40:14 AM,10/18/2019 14:35,SIL,0.7,6N2,0.4,6O2,0.1,6Q2,,,,,0.3,6A2d,4.3,8C1e,5,8C1a,,,,,,,27,,,SIL,3A1a1a,13.4,59.9,26.7,,,
93P04124,128324,S,20296,20296,93P0569,2679,,0,15,0,15,A,958661,93IL163008,Urban Land,miscellaneous area,,976955,93IL163008,6/1/1993 0:00,,,US,United States,IL,Illinois,IL163,St. Clair,,,,,NASIS updated 5/4/2020 8:26:02 AM,6/12/2014 16:16,l,32.54,6N2e,4.1,6O2d,1.94,6Q2b,,,,,6.28,6A1c,6.4,4C1a2a,6.5,4C1a2a,,,,,,,100,,,l,3A1a1a,24,39.8,36.2,12,,
MU054408,15793966,S,47509,46795,M9561325,5429,,0,10,0,10,A,1367211,1995MO203025M,Portia,taxadjunct,"Fine-loamy, siliceous, semiactive, mesic Typic Paleudalfs",96493,1995MO203025M,6/12/1995 0:00,37.1379694,-91.0776306,US,United States,MO,Missouri,MO203,Shannon,116A,Ozark Highland,MO203,"Shannon County, Missouri",NASIS updated 5/4/2020 8:40:44 AM,12/12/2019 14:17,sil,1.4,4B1a1,0.8,4B1a1,0.1,4B1a1,,,,,1.7,6A2d,4.5,8C1e,4.8,8C1a,,,,,,,25,,,sil,3A1a1a,13.5,66.7,19.8,,,
MU048990,15799067,S,48253,47539,M9320929,5429,,0,13,0,13,A,93774,1993MO209231,Moko,series,"Loamy-skeletal, mixed, superactive, mesic Lithic Hapludolls",93834,1993MO209231,8/4/1993 0:00,36.6566667,-93.3611111,US,United States,MO,Missouri,MO209,Stone,116A,Ozark Highland,MO209,"Stone County, Missouri",NASIS updated 5/4/2020 8:39:41 AM,7/25/2019 13:05,sicl,23.4,4B1a1,11.3,4B1a1,0.4,4B1a1,,,,,4.2,6A2d,,,7.9,8C1a,,,,,,,100,,,sicl,3A1a1a,29,56.3,14.7,,,
87109-3-4,15743914,S,39884,39265,S87AL-109-3,5279,8709-3-4,74,91,74,91,Bt,318816,87AL109003-pgm,Fuquay,series,"Loamy, kaolinitic, thermic Arenic plinthic kandiudults",318502,87AL109003-pgm,12/3/1981 0:00,31.62722778,-85.88667297,US,United States,AL,Alabama,AL109,Pike,,,AL109,"Pike County, Alabama",NASIS updated 5/4/2020 8:46:44 AM,1/27/2014 17:14,,0.4,NK,0.16,NK,0.16,NK,,,,,,,,,5.2,NK,,,,,,,,,,,3A1a1a,10.8,12.5,76.7,,,
88P02683,94906,S,15026,15026,88P0528,1770,,0,18,0,18,Ap,125013,88NC159002,Hiwassee,series,"Clayey, kaolinitic, thermic Typic Kanhapludults",123269,S1988NC159002,3/1/1988 0:00,35.646946,-80.5611115,US,United States,NC,North Carolina,NC159,Rowan,136,Southern Piedmont,NC159,"Rowan County, North Carolina",NASIS updated 5/4/2020 8:20:44 AM,4/24/2016 14:12,c,4.17,6N2e,0.65,6O2d,0.74,6Q2b,,,,,1.54,6A1c,5.2,4C1a2a,5.9,4C1a2a,,,,,,,54,,,c,3A1a1a,51.1,27.9,21,0,,
FL4000502,15818619,S,51297,50571,S40_005,5460,,18,46,18,46,Bt1,517826,1983-FL079-S40_005,Esto,,"Typic Kandiudults, fine, kaolinitic, thermic.",529079,S1983-FL079-S40_005,4/15/2011 0:00,30.6251221,-83.4347229,US,United States,FL,Florida,FL079,Madison,133A,Southern Coastal Plain,FL079,"Madison County, Florida",NASIS updated 5/4/2020 8:45:44 AM,4/23/2016 6:15,C,2.54,6N2,1.56,6O2,0.19,6Q2,,,,,0.63,6A1a,4.5,8C1e,4.5,8C1a,,,,,,,,,,C,3A1a1a,49,8.9,,,,
FL1201903,15817466,S,51118,50392,S12_019,5460,,25,41,25,41,Eg1,903502,S1980-FL023-S12_019,Pelham,taxadjunct,"Loamy, siliceous, subactive, thermic Typic Albaquults",528600,S1980-FL023-S12_019,4/15/2011 0:00,30.1793442,-82.4809723,US,United States,FL,Florida,FL023,Columbia,153A,Atlantic Coast Flatwoods,FL023,"Columbia County, Florida",NASIS updated 5/4/2020 8:45:05 AM,9/20/2019 14:49,FS,0.01,6N2,0.01,6O2,0,6Q2,,,,,0.41,6A1a,5,8C1e,4.4,8C1a,,,,,,,,,,FS,3A1a1a,2.5,6.5,,,,
89P00534,98151,S,15532,15532,89P0047,1862,,85,132,85,100,Bg3,125382,88LA047002,Sharkey,series,"Very-fine, smectitic, nonacid, thermic Vertic Haplaquepts",123638,S1988LA047002,8/1/1988 0:00,30.2769451,-91.0897217,US,United States,LA,Louisiana,LA047,Iberville,131,Southern Mississippi Valley Alluvium,LA047,"Iberville Parish, Louisiana",NASIS updated 5/4/2020 8:21:24 AM,5/3/2016 23:01,c,31.45,6N2e,11.47,6O2d,1.3,6Q2b,,,,,0.68,6A1c,6.9,4C1a2a,7.8,4C1a2a,,,,,,,100,,,c,3A1a1a,66.4,29.6,4,0,1.76,4A1h
98P00314,149989,S,23491,23491,98P0044,3178,,51,94,51,94,Bt2,108846,97VA033003,WICKHAM,series,,108832,S1997VA033003,10/7/1997 0:00,,,US,United States,VA,Virginia,VA033,Caroline,133A,Southern Coastal Plain,VA033,"Caroline County, Virginia",NASIS updated 5/4/2020 8:29:27 AM,4/24/2016 14:12,scl,3.68,6N2e,1.77,6O2d,0.12,6Q2b,0.11,6A2e,,,,,6.2,4C1a2a,6.7,4C1a2a,,,,,,,91,0.1,,scl,3A1a1a,23.6,26.7,49.7,0,,
FL3702801,15816549,S,50982,50256,S37_028,5460,,0,15,0,15,A,517785,1978-FL073-S37_028,Leon,,"Aeric Alaquods, sandy, siliceous, thermic.",529038,S1978-FL073-S37_028,4/15/2011 0:00,30.3656883,-84.1507034,US,United States,FL,Florida,FL073,Leon,133A,Southern Coastal Plain,FL073,"Leon County, Florida",NASIS updated 5/4/2020 8:45:41 AM,4/23/2016 6:15,S,0.41,6N2,0.17,6O2,0.04,6Q2,,,,,2.26,6A1a,3.2,8C1e,4.2,8C1a,,,,,,,,,,S,3A1a1a,1,3.8,,,,
FL6501502,15820080,S,51534,50808,S65_015,5460,,13,18,13,18,A,518290,1986-FL129-S65_015,Lakeland,,"Typic Quartzipsamments, thermic, coated .",529584,S1986-FL129-S65_015,4/15/2011 0:00,30.0313034,-84.4079437,US,United States,FL,Florida,FL129,Wakulla,152A,Eastern Gulf Coast Flatwoods,FL129,"Wakulla County, Florida",NASIS updated 5/4/2020 8:46:13 AM,4/23/2016 6:15,S,0.09,6N2,0.04,6O2,0.01,6Q2,,,,,0.33,6A1a,4.9,8C1e,5.3,8C1a,,,,,,,,,,S,3A1a1a,1.4,3,,,,
03N03675,185677,S,30115,30007,03N0739,4280,S01AR-061-002-1,0,10,0,10,A,423016,S2001AR061002,Saffell,series,"Loamy-skeletal, siliceous, semiactive, thermic Typic Hapludults",425263,S2001AR061002,5/1/2001 0:00,34.0063896,-93.9422226,US,United States,AR,Arkansas,AR061,Howard,133B,Western Coastal Plain,AR061,"Howard County, Arkansas",NASIS updated 5/4/2020 7:41:12 AM,10/13/2017 14:12,l,1.93,4B1a1a,0.35,4B1a1a,0.19,4B1a1a,1.76,4H2a,0.16,4H2a,,,5.4,4C1a2a,5.6,4C1a2a,,,,,,,38,1.8,11,l,3A1a1a,12.2,43.7,44.1,0,,
